Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 332, Row: 13, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8901040835
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 332, Row: 14, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8901040869
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 332, Row: 15, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8901040908
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 332, Row: 16, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8901041125
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 332, Row: 17, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8901041158
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 332, Row: 18, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8901041438
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 332, Row: 19, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8901041454
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 332, Row: 20, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8901041686
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 332, Row: 21, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8901041869
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 332, Row: 22, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8901042032
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 332, Row: 23, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8901042124
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 332, Row: 24, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8901040479
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 332, Row: 25, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8901041481
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 133, Row: 3, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8024663331
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 103, Row: 14, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8936623558
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 111, Row: 11, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8058157274
