Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 311, Row: 4, Price: $54, Est. Price: $86.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9091453217
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 322, Row: 5, Price: $54, Est. Price: $86.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9077616579
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 111, Row: 6, Price: $55, Est. Price: $88.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8793689518
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 105, Row: 18, Price: $55, Est. Price: $88.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9034268299
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 137, Row: 29, Price: $55, Est. Price: $88.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8936931390
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 111, Row: 5, Price: $56, Est. Price: $89.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8793689397
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 321, Row: 2, Price: $56, Est. Price: $89.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8936800672
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 318, Row: 6, Price: $56, Est. Price: $89.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9110807367
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 317, Row: 7, Price: $56, Est. Price: $89.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9110813141
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 141, Row: 26, Price: $56, Est. Price: $89.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9091322910
