Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 102, Row: 25, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9093005224
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 136, Row: 32, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=8937044423
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 111, Row: 6, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=8993701812
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 319, Row: 5, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9114363052
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 137, Row: 27, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=8840520456
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 144, Row: 12, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9081725820
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 104, Row: 20, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9081729284
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 108, Row: 26, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=8973606939
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 143, Row: 16, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9098751551
Date: 04-25-2025, Home Team: Dbacks, Away Team: Braves, Section: 142, Row: 17, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-25-2025/event/154654660/?quantity=2&listingId=9081734212
