Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 305, Row: 13, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8907620019
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 326, Row: 12, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8916274270
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 326, Row: 13, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8916274281
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 326, Row: 14, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8916274283
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 326, Row: 15, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8916274286
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 326, Row: 16, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8916274299
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 326, Row: 17, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8916274303
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 326, Row: 18, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8916274311
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 326, Row: 19, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8916274325
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 326, Row: 20, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8916274331
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 326, Row: 21, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8916274334
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 326, Row: 22, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8916274343
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 326, Row: 23, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-29-2025/event/154663526/?quantity=2&listingId=8916274350
